Variable,Long Name,Unit,Make,Sensor,Process Level,Study Domain,Temporal Resolution,Spatial Resolution,Comment,Dataset Name,Data Source,Distributor,Dataset Description,Dataset_ID,ID,Table_Name,Keywords
abundance,SeaFlow Abandance,cell/uL,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,123,tblSeaFlow,seaflow flow cytometry abundance insitu in-situ observation rep reprocessed bio biology 
sla,SeaFlow Along Track SLA,m,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,124,tblSeaFlow,seaflow flow cytometry sla insitu in-situ observation rep reprocessed bio biology 
grad_sla,SeaFlow Along Track Gradient of SLA,,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,125,tblSeaFlow,seaflow flow cytometry gradient grad sla insitu in-situ observation rep reprocessed bio biology 
sst,SeaFlow Along Track SST,C,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,126,tblSeaFlow,seaflow flow cytometry sst insitu in-situ observation rep reprocessed bio biology 
grad_sst,SeaFlow Along Track Gradient of SST,C/m,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,127,tblSeaFlow,seaflow flow cytometry gradient grad sst insitu in-situ observation rep reprocessed bio biology 
chl,SeaFlow Along Track CHL,mg/m^3,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,128,tblSeaFlow,seaflow flow cytometry chl insitu in-situ observation rep reprocessed bio biology 
grad_chl,SeaFlow Along Track Gradient of CHL,mg/m^4,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,129,tblSeaFlow,seaflow flow cytometry gradient grad chl insitu in-situ observation rep reprocessed bio biology 
wind_stress,SeaFlow Along Track Wind Stress,Pa,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,130,tblSeaFlow,seaflow flow cytometry wind stress insitu in-situ observation rep reprocessed bio biology 
grad_wind_stress,SeaFlow Along Track Gradient of Wind Stress,Pa/m,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,131,tblSeaFlow,seaflow flow cytometry gradient grad wind stress insitu in-situ observation rep reprocessed bio biology 
REP_ftle_BWD_ADT,SeaFlow Along Track BWD FTLE ADT,1/day,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,132,tblSeaFlow,seaflow flow cytometry bwd backward ftle adt insitu in-situ observation rep reprocessed bio biology 
REP_ftle_BWD_SLA,SeaFlow Along Track BWD FTLE SLA,1/day,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,133,tblSeaFlow,seaflow flow cytometry bwd backward ftle sla insitu in-situ observation rep reprocessed bio biology 
REP_ftle_FWD_ADT,SeaFlow Along Track FWD FTLE ADT,1/day,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,134,tblSeaFlow,seaflow flow cytometry fwd forward ftle adt insitu in-situ observation rep reprocessed bio biology 
REP_ftle_FWD_SLA,SeaFlow Along Track FWD FTLE SLA,1/day,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,135,tblSeaFlow,seaflow flow cytometry fwd forward ftle sla insitu in-situ observation rep reprocessed bio biology 
REP_disp_BWD_ADT,SeaFlow Along Track BWD Displacement ADT,deg,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,138,tblSeaFlow,seaflow flow cytometry bwd backward disp displacement adt insitu in-situ observation rep reprocessed bio biology 
REP_disp_BWD_SLA,SeaFlow Along Track BWD Displacement SLA,deg,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,139,tblSeaFlow,seaflow flow cytometry bwd backward disp displacement sla insitu in-situ observation rep reprocessed bio biology 
REP_disp_FWD_ADT,SeaFlow Along Track FWD Displacement ADT,deg,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,140,tblSeaFlow,seaflow flow cytometry fwd forward disp displacement adt insitu in-situ observation rep reprocessed bio biology 
REP_disp_FWD_SLA,SeaFlow Along Track FWD Displacement SLA,deg,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,141,tblSeaFlow,seaflow flow cytometry fwd forward disp displacement sla insitu in-situ observation rep reprocessed bio biology 
beads,SeaFlow Beads Abandance,cell/uL,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,142,tblSeaFlow,seaflow beads flow cytometry abundance insitu in-situ observation rep reprocessed bio biology 
prochloro,SeaFlow Prochlorococcus Abandance,cell/uL,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,143,tblSeaFlow,seaflow prochloro prochlorococcus flow cytometry abundance insitu in-situ observation rep reprocessed bio biology 
synecho,SeaFlow Synechococcus Abandance,cell/uL,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,144,tblSeaFlow,seaflow synecho synechococcus flow cytometry abundance insitu in-situ observation rep reprocessed bio biology 
picoeuk,SeaFlow Picoeukaryotes Abandance,cell/uL,Observation,In-Situ,Reprocessed,Biology,Three Minutes,Irregular,,Underway Flow Cytometry,"Armbrust Lab, UW",Simons Ocean Atlas,"""SeaFlow is a novel underway flow cytometer created at UW by Jarred Swalwell that is designed to measure continuously the abundance and composition of microbial populations, making it possible to analyze the equivalent of one sample every three minutes. The instrument collects information about the size and pigment content of an individual cell and counts several thousands cells every second in real-time. The instrument utilizes light scattering and autofluorescence properties of individual cells to discriminate and quantify different cell populations that span 0.5-15 micrometer in size. The instrument is semi-autonomous and can be controlled remotely via Satellite connection.

SeaFlow data are processed at the Armbrust Lab by Francois Ribalet. Abundance and optical properties of of the different microbial populations can be visualized using our web interface created by Chris Berthiaume.""  http://armbrustlab.ocean.washington.edu/resources/seaflow/",6,145,tblSeaFlow,seaflow picoeuk picoeukaryotes flow cytometry abundance insitu in-situ observation rep reprocessed bio biology 
DIC_darwin_clim,DIC concentration (climatology),mmol C/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,146,tblDarwin_Nutrient_Climatology,dic clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
NH4_darwin_clim,NH4 concentration (climatology),mmol N/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,156,tblDarwin_Nutrient_Climatology,nh4 ammonium clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
NO2_darwin_clim,NO2 concentration (climatology),mmol N/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,157,tblDarwin_Nutrient_Climatology,no2 nitrite clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
NO3_darwin_clim,NO3 concentration (climatology),mmol N/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,158,tblDarwin_Nutrient_Climatology,no3 nitrate clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
PO4_darwin_clim,PO4 concentration (climatology),mmol P/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,159,tblDarwin_Nutrient_Climatology,po4 phosphate clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
SiO2_darwin_clim,SiO2 concentration (climatology),mmol Si,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,160,tblDarwin_Nutrient_Climatology,sio2 silicon dioxide clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
FeT_darwin_clim,FeT concentration (climatology),mmol Fe,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,161,tblDarwin_Nutrient_Climatology,fet fe iron clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
DOC_darwin_clim,DOC concentration (climatology),mmol C/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,162,tblDarwin_Nutrient_Climatology,doc clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
DON_darwin_clim,DON concentration (climatology),mmol N/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,163,tblDarwin_Nutrient_Climatology,don clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
DOP_darwin_clim,DOP concentration (climatology),mmol P/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,164,tblDarwin_Nutrient_Climatology,dop clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
DOFe_darwin_clim,DOfe concentration (climatology),mmol Fe,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,165,tblDarwin_Nutrient_Climatology,dofe clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
POC_darwin_clim,POC concentration (climatology),mmol C/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,166,tblDarwin_Nutrient_Climatology,poc clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
PON_darwin_clim,PON concentration (climatology),mmol N/,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,167,tblDarwin_Nutrient_Climatology,pon clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
POSi_darwin_clim,POSi concentration (climatology),mmol Si,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,168,tblDarwin_Nutrient_Climatology,posi clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
