Variable,Long Name,Unit,Make,Sensor,Process Level,Study Domain,Temporal Resolution,Spatial Resolution,Comment,Dataset Name,Data Source,Distributor,Dataset Description,Dataset_ID,ID,Table_Name,Keywords
chl25_darwin_clim,Chl25 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,249,tblDarwin_Chl_Climatology,chl25_darwin_clim chl25 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl26_darwin_clim,Chl26 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,250,tblDarwin_Chl_Climatology,chl26_darwin_clim chl26 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl27_darwin_clim,Chl27 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,251,tblDarwin_Chl_Climatology,chl27_darwin_clim chl27 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl28_darwin_clim,Chl28 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,252,tblDarwin_Chl_Climatology,chl28_darwin_clim chl28 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl29_darwin_clim,Chl29 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,253,tblDarwin_Chl_Climatology,chl29_darwin_clim chl29 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl30_darwin_clim,Chl30 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,254,tblDarwin_Chl_Climatology,chl30_darwin_clim chl30 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl31_darwin_clim,Chl31 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,255,tblDarwin_Chl_Climatology,chl31_darwin_clim chl31 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl32_darwin_clim,Chl32 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,256,tblDarwin_Chl_Climatology,chl32_darwin_clim chl32 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl33_darwin_clim,Chl33 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,257,tblDarwin_Chl_Climatology,chl33_darwin_clim chl33 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl34_darwin_clim,Chl34 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,258,tblDarwin_Chl_Climatology,chl34_darwin_clim chl34 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
chl35_darwin_clim,Chl35 concentration (climatology),mg Chl,Model,Blend,Reprocessed,Biogeochemistry,Monthly Climatology,1/2° X 1/2°,,Biogeochemistry Climatology Model,http://darwinproject.mit.edu,http://darwinproject.mit.edu,"""The Darwin Project is an initiative to advance the development and application of novel models of marine microbes and microbial communities, identifying the relationships of individuals and communities to their environment, connecting cellular-scale processes to global microbial community structure.""      http://darwinproject.mit.edu/",21,259,tblDarwin_Chl_Climatology,chl35_darwin_clim chl35 chl chlorophyll clim climatology rep reprocessed model darwin mit mitgcm nutrient bio chem biogo biogeochemistry biogeochem ecology blend
OH_PseudoCobalamin_Particulate_pM,Particulate concentrations (pM) of OH-pseudocobalamin,pmol/L,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"Particulate cobalamin and pseudocobalamin concentrations from cruise KM1314, published in Heal et al 2017","University of Washington
",Simons Ocean Atlas,These are particulate cobalamin and pseudocobalamin concentrations as reported in Heal et al 2017,22,260,tblCobalamin,"OH_PseudoCobalamin_Particulate_pM cobalamin, B12, nutrients, insitu in-situ observation rep reprocessed, chemistry, biology, biogeochemistry"
Me_PseudoCobalamin_Particulate_pM,Particulate concentrations (pM) of Me-pseudocobalamin,pmol/L,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"Particulate cobalamin and pseudocobalamin concentrations from cruise KM1314, published in Heal et al 2017","University of Washington
",Simons Ocean Atlas,These are particulate cobalamin and pseudocobalamin concentrations as reported in Heal et al 2017,22,267,tblCobalamin,"Me_PseudoCobalamin_Particulate_pM cobalamin, B12, nutrients, insitu in-situ observation rep reprocessed, chemistry, biology, biogeochemistry"
OH_Cobalamin_Particulate_pM,Particulate concentrations (pM) of Me-pseudocobalamin,pmol/L,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"Particulate cobalamin and pseudocobalamin concentrations from cruise KM1314, published in Heal et al 2017","University of Washington
",Simons Ocean Atlas,These are particulate cobalamin and pseudocobalamin concentrations as reported in Heal et al 2017,22,268,tblCobalamin,"OH_Cobalamin_Particulate_pM cobalamin, B12, nutrients, insitu in-situ observation rep reprocessed, chemistry, biology, biogeochemistry"
Me_Cobalamin_Particulate_pM,Particulate concentrations (pM) of Me-cobalamin,pmol/L,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"Particulate cobalamin and pseudocobalamin concentrations from cruise KM1314, published in Heal et al 2017","University of Washington
",Simons Ocean Atlas,These are particulate cobalamin and pseudocobalamin concentrations as reported in Heal et al 2017,22,269,tblCobalamin,"Me_Cobalamin_Particulate_pM cobalamin, B12, nutrients, insitu in-situ observation rep reprocessed, chemistry, biology, biogeochemistry"
Ado_Cobalamin_Particulate_pM,Particulate concentrations (pM) of Ado-cobalamin,pmol/L,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"Particulate cobalamin and pseudocobalamin concentrations from cruise KM1314, published in Heal et al 2017","University of Washington
",Simons Ocean Atlas,These are particulate cobalamin and pseudocobalamin concentrations as reported in Heal et al 2017,22,270,tblCobalamin,"Ado_Cobalamin_Particulate_pM cobalamin, B12, nutrients, insitu in-situ observation rep reprocessed, chemistry, biology, biogeochemistry"
chl_hot,Chlorophyll a,mg/m^3,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,271,tblHOT_PP,chl_hot chl hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
pheopigments_hot,Pheopigments,mg/m^3,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,272,tblHOT_PP,pheopigments_hot pheopigments pheo phaeo hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
light_12_hot,Light 12,mg C/m^3,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,273,tblHOT_PP,light_12_hot light 12 l12 hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
dark_12_hot,Dark 12,mg C/m^3,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,274,tblHOT_PP,dark_12_hot dark 12 d12 hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
salinity_hot,Salinity,PSS-78,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,275,tblHOT_PP,salinity_hot salinity hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
prochlorococcus_hot,Prochlorococcus,#/ml,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,276,tblHOT_PP,prochlorococcus_hot prochlorococcus hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
heterotrophic_bacteria_hot,Heterotrophic Bacteria,#/ml,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,277,tblHOT_PP,heterotrophic_bacteria_hot heterotrophic bacteria hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
synechococcus_hot,Synechococcus,#/ml,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,278,tblHOT_PP,synechococcus_hot synechococcus hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
eukaryotes_hot,Eukaryotes,#/ml,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Primary Production HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Photosynthetic production of organic matter was measured by the 14C tracer method. All incubations from 1990 through mid-2000 were conducted in situ at eight depths (5, 25, 45, 75, 100, 125, 150 and 175m) over one daylight period using a free-drifting array as described by Winn et al. (1991). Starting HOT-119 (October 2000), we collected samples from only the upper six depths & modeled the lower two depths based on the monthly climatology. During 2015, all incubations were conducted in situ on a free floating, surface tethered array. Integrated carbon assimilation rates were calculated using the trapezoid rule with the shallowest value extended to 0 meters and the deepest extrapolated to a value of zero at 200 meters.""",23,279,tblHOT_PP,eukaryotes_hot eukaryotes hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
carbon_hot,Carbon,mg/m^2/day,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,280,tblHOT_ParticleFlux,carbon_hot carbon particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
nitrogen_hot,Nitrogen,mg/m^2/day,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,281,tblHOT_ParticleFlux,nitrogen_hot nitrogen particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
phosphorus_hot,Phosphorus,mg/m^2/day,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,282,tblHOT_ParticleFlux,phosphorus_hot phosphorus particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
silica_hot,Silica,mg/m^2/day,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,283,tblHOT_ParticleFlux,silica_hot silica particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
mass_hot,Mass,mg/m^2/day,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,284,tblHOT_ParticleFlux,mass_hot mass particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
d15n_hot,δ15N of PN,‰ vs. air-N2,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,285,tblHOT_ParticleFlux,d15n_hot d15n PN particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
d13c_hot,δ13C of PC,‰ vs. VPDB,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,286,tblHOT_ParticleFlux,d13c_hot d113c PC particle flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
pic_hot,Particulate Inorganic Carbon,mg/m^2/day,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,Particle Flux HOT,Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,"""Particle flux was measured at a standard reference depth of 150 m using multiple cylindrical particle interceptor traps deployed on a free-floating array for approximately 60 h during each cruise. Sediment trap design and collection methods are described in Winn et al. (1991). Samples were analyzed for particulate C, N, P & Si. Typically six traps are analyzed for PC and PN, three for PP, and another three traps for PSi.""",24,287,tblHOT_ParticleFlux,pic_hot pic particulate inorganic carbon flux hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
volume_zooplank_hot,Volume,m^3,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,288,tblHOT_Macrozooplankton,volume_zooplank_hot volume macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
settled_volume_zooplank_hot,Settled Volume,ml/m^3,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,289,tblHOT_Macrozooplankton,settled_volume_zooplank_hot settled volume macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
wet_weight_zooplank_hot,Wet Weight,g/m^2,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,290,tblHOT_Macrozooplankton,wet_weight_zooplank_hot wet weight macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
dry_weight_zooplank_hot,Dry Weight,g/m^2,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,291,tblHOT_Macrozooplankton,dry_weight_zooplank_hot dry weight macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
carbon_zooplank_hot,Carbon,mg/m^2,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,292,tblHOT_Macrozooplankton,carbon_zooplank_hot carbon macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
nitrogen_zooplank_hot,Nitrogen,mg/m^2,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,293,tblHOT_Macrozooplankton,nitrogen_zooplank_hot nitrogen macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
abundance_zooplank_hot,Abundance,#/m^2,Observation,In-Situ,Reprocessed,Biogeochemistry,Irregular,Irregular,,"
Zooplankton Community Structure HOT",Hawaii Ocean Time-series (HOT),http://hahana.soest.hawaii.edu/hot/hot-dogs/,""" Mesozooplankton (weak swimmers 0.2-20 mm size) are collected using oblique tows of a 1-m2 net (202-µm mesh netting) from the surface to approximately 175 m depth. The catch is size fractionated by washing through a nested set of net filters and each fraction analyzed for dry weight, C and N.""",25,294,tblHOT_Macrozooplankton,abundance_zooplank_hot abundance macrozooplankton zooplankton hot bio biogeo biology insitu in-situ observation rep reprocessed aloha
